                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0056,                0.82419,                 1.1755,                 0.8854,                 0.7807,                0.87355,                 0.6177,                 1.0449,                0.86092,                 1.2156,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0099,                 0.8117,                 1.1836,                0.86682,                0.78106,                0.88129,                0.62622,                 1.0341,                0.85861,                   1.21,               0.000614,               0.000614,               0.000614
                     37,                0.99381,                0.80724,                 1.1692,                0.88207,                0.79158,                0.87912,                0.61187,                  1.078,                0.85917,                 1.2393,              0.0005744,              0.0005744,              0.0005744
                     38,                0.96973,                 0.7492,                 1.1666,                0.87255,                0.78554,                0.87368,                0.61446,                 1.0278,                0.85035,                 1.2133,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.9645,                0.77034,                 1.1703,                0.89232,                0.77158,                0.90412,                0.63504,                 1.0454,                0.78703,                 1.2099,              0.0004952,              0.0004952,              0.0004952
                     40,                0.96191,                0.74121,                 1.1477,                0.88971,                0.77579,                0.89345,                0.63577,                 1.0249,                0.80479,                  1.202,              0.0004556,              0.0004556,              0.0004556
                     41,                0.89086,                0.64229,                 1.1044,                0.89298,                0.79928,                0.89451,                0.65006,                0.98613,                0.81739,                 1.1719,               0.000416,               0.000416,               0.000416
                     42,                0.87388,                0.61985,                 1.0928,                 0.8811,                0.77895,                0.86463,                0.60998,                 1.0633,                0.88415,                 1.2454,              0.0003764,              0.0003764,              0.0003764
                     43,                0.85341,                0.59487,                 1.0742,                0.88765,                0.79579,                0.88705,                0.62264,                 1.0393,                0.86392,                 1.2097,              0.0003368,              0.0003368,              0.0003368
                     44,                0.85079,                0.59168,                 1.0741,                0.87818,                0.79684,                0.89095,                0.63631,                 1.0057,                0.79304,                 1.1824,              0.0002972,              0.0002972,              0.0002972
                     45,                0.84148,                0.58807,                 1.0706,                0.89428,                0.78947,                0.89861,                0.64483,                 1.0042,                0.80389,                 1.1947,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.8369,                0.57248,                 1.0601,                0.90426,                0.81521,                0.91832,                0.66766,                0.97553,                 0.7245,                 1.1558,               0.000218,               0.000218,               0.000218
                     47,                0.82345,                0.55209,                 1.0605,                0.88415,                0.79529,                0.89648,                0.64115,                0.99954,                0.80781,                 1.1869,              0.0001784,              0.0001784,              0.0001784
                     48,                0.81828,                 0.5413,                 1.0542,                0.90605,                0.80194,                0.89767,                0.65356,                0.99628,                0.75239,                 1.1803,              0.0001388,              0.0001388,              0.0001388
                     49,                0.79108,                0.52017,                  1.041,                0.88271,                0.81579,                0.89052,                0.64924,                 1.0024,                0.77646,                 1.1935,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.78322,                0.51518,                 1.0312,                0.88928,                0.81161,                0.89627,                0.65473,                0.99875,                0.76198,                 1.1939,               5.96e-05,               5.96e-05,               5.96e-05
